时间(s),釜温 RT(釜),探针 P1,探针 P2,探针 P3,探针 P4,探针 P5,探针 P6
0,25,25,25,25,25,25,25
20,25.05,25,25,25,25,25,25
45,25.25,25,25,25,25,25,25
60,25.45,25,25,25,25,25,25
80,25.79,25,25,25,25,25,25
110,26.47,25.01,25,25,25,25.01,25
130,27.04,25.06,25.03,25.01,25.01,25.07,25.02
155,27.87,25.15,25.09,25.05,25.04,25.17,25.07
170,28.42,25.32,25.21,25.15,25.12,25.34,25.18
190,29.24,25.65,25.47,25.36,25.31,25.68,25.42
220,30.6,26.03,25.78,25.62,25.56,26.06,25.72
240,31.59,26.57,26.25,26.03,25.95,26.61,26.17
265,32.94,27.02,26.64,26.37,26.29,27.05,26.54
280,33.8,27.63,27.18,26.86,26.77,27.66,27.06
300,34.99,28.58,28.05,27.66,27.55,28.62,27.91
330,36.91,29.42,28.82,28.37,28.24,29.46,28.66
350,38.25,30.5,29.83,29.3,29.17,30.54,29.64
375,40.02,31.29,30.56,29.98,29.85,31.32,30.35
390,41.11,32.33,31.53,30.9,30.76,32.36,31.31
410,42.61,33.84,32.98,32.29,32.13,33.88,32.73
440,44.96,35.08,34.15,33.4,33.24,35.12,33.89
460,46.57,36.62,35.63,34.82,34.65,36.66,35.35
485,48.64,37.7,36.65,35.79,35.62,37.72,36.35
500,49.91,39.08,37.98,37.08,36.9,39.1,37.67
520,51.64,41.05,39.91,38.95,38.77,41.08,39.58
550,54.29,42.61,41.41,40.41,40.22,42.64,41.06
570,56.08,44.51,43.26,42.21,42.02,44.53,42.9
595,58.37,45.8,44.51,43.42,43.23,45.82,44.13
610,59.75,47.45,46.11,44.99,44.8,47.47,45.73
630,61.62,49.76,48.4,47.25,47.04,49.79,48.01
660,64.44,51.55,50.15,48.95,48.75,51.57,49.74
680,66.34,53.71,52.27,51.04,50.84,53.73,51.85
705,68.73,55.15,53.68,52.42,52.22,55.16,53.25
720,70.17,56.98,55.48,54.19,53.99,56.99,55.04
740,72.09,59.52,58.01,56.72,56.5,59.54,57.57
770,74.97,61.46,59.92,58.59,58.38,61.47,59.47
790,76.89,63.76,62.21,60.86,60.65,63.78,61.75
815,79.28,65.29,63.71,62.34,62.14,65.3,63.25
830,80.71,67.22,65.62,64.24,64.04,67.22,65.16
850,82.6,69.87,68.29,66.91,66.7,69.89,67.82
880,85.42,71.87,70.26,68.86,68.66,71.87,69.79
900,87.27,74.23,72.62,71.22,71.01,74.23,72.15
925,89.56,75.77,74.16,72.74,72.54,75.77,73.68
940,90.92,77.71,76.09,74.67,74.48,77.71,75.62
960,92.7,80.36,78.77,77.37,77.17,80.37,78.3
990,95.33,82.33,80.73,79.32,79.13,82.33,80.26
1010,97.04,84.63,83.05,81.65,81.46,84.63,82.58
1035,99.12,86.13,84.54,83.11,82.95,86.11,84.06
1050,100.34,87.99,86.4,84.95,84.82,87.96,85.92
1070,101.94,90.52,88.94,87.46,87.38,90.46,88.47
1100,104.24,92.36,90.76,89.22,89.19,92.28,90.28
1120,105.72,94.51,92.9,91.28,91.33,94.39,92.41
1145,107.5,95.88,94.26,92.57,92.68,95.74,93.76
1160,108.53,97.59,95.95,94.18,94.36,97.41,95.44
1180,109.85,99.87,98.25,96.39,96.66,99.67,97.73
1210,111.71,101.52,99.88,97.94,98.29,101.29,99.36
1230,112.88,103.41,101.79,99.77,100.19,103.16,101.25
1255,114.25,104.61,102.98,100.91,101.39,104.34,102.44
1270,115.01,106.08,104.47,102.35,102.88,105.79,103.93
1290,115.98,108.02,106.46,104.33,104.91,107.72,105.93
1320,117.28,109.38,107.85,105.71,106.32,109.08,107.32
1340,118.05,110.93,109.45,107.32,107.96,110.62,108.93
1365,118.9,111.88,110.43,108.31,108.97,111.56,109.92
1380,119.35,113.03,111.62,109.53,110.21,112.71,111.12
1400,119.88,114.51,113.19,111.15,111.85,114.19,112.71
1430,120.49,115.5,114.23,112.23,112.95,115.18,113.77
1450,120.79,116.59,115.4,113.45,114.18,116.26,114.95
1475,121.02,117.23,116.08,114.16,114.9,116.9,115.65
1490,121.09,117.97,116.88,115.01,115.77,117.63,116.47
1510,121.11,118.87,117.88,116.1,116.87,118.54,117.5
1540,121.18,119.4,118.49,116.76,117.54,119.07,118.09
1560,121.23,119.93,119.1,117.45,118.25,119.59,118.69
1585,121.28,120.18,119.41,117.81,118.62,119.85,118.95
